OID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape__Are,Shape__Len,ID,sourceCoun,ENRICH_FID,aggregatio,population,apportionm,HasData,TOTPOP_CY
-1,36,061,36198201,00001013,00015302,3606100015302,G6320,S,86794.000000000000000,0.000000000000000,+40.7742589,-073.9792408,0.000009260000000,0.012341510000000,20,US,21,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3564.000000000000000
-1,36,061,36198201,00001013,00015301,3606100015301,G6320,S,87322.000000000000000,0.000000000000000,+40.7754530,-073.9820822,0.000009310000000,0.012357160000000,21,US,22,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,6174.000000000000000
-1,36,061,36198201,00001014,00017702,3606100017702,G6320,S,87101.000000000000000,0.000000000000000,+40.7897108,-073.9679651,0.000009290000000,0.012366400000000,22,US,23,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4580.000000000000000
-1,36,061,36198201,00001014,00017701,3606100017701,G6320,S,87460.000000000000000,0.000000000000000,+40.7909033,-073.9708072,0.000009330000000,0.012389180000000,23,US,24,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4593.000000000000000
-1,36,061,36198201,00001014,00016101,3606100016101,G6320,S,88440.000000000000000,0.000000000000000,+40.7805973,-073.9783271,0.000009430000000,0.012449440000000,24,US,25,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3657.000000000000000
-1,36,061,36198201,00001014,00017301,3606100017301,G6320,S,89226.000000000000000,0.000000000000000,+40.7883672,-073.9726586,0.000009520000000,0.012516920000000,25,US,26,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4403.000000000000000
-1,36,061,36198201,00001014,00017302,3606100017302,G6320,S,89376.000000000000000,0.000000000000000,+40.7871747,-073.9698160,0.000009540000000,0.012532150000000,26,US,27,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4617.000000000000000
-1,36,061,36198201,00001014,00016902,3606100016902,G6320,S,89906.000000000000000,0.000000000000000,+40.7845972,-073.9716978,0.000009590000000,0.012559390000000,27,US,28,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4919.000000000000000
-1,36,061,36198201,00001014,00016901,3606100016901,G6320,S,90093.000000000000000,0.000000000000000,+40.7857934,-073.9745383,0.000009610000000,0.012571710000000,28,US,29,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3281.000000000000000
-1,36,061,36198201,00001012,00013902,3606100013902,G6320,S,90763.000000000000000,0.000000000000000,+40.7666936,-073.9847494,0.000009680000000,0.012616330000000,29,US,30,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,5773.000000000000000
-1,36,061,36198201,00001012,00013901,3606100013901,G6320,S,90836.000000000000000,0.000000000000000,+40.7678904,-073.9875916,0.000009690000000,0.012621480000000,30,US,31,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3837.000000000000000
