OID,License_Se,License_Ty,License_Cl,License__1,Agency_Zon,Agency_Z_1,County_Nam,Premises_N,Doing_Busi,Actual_Add,Additional,City,State,Zip,License_Ce,License_Or,License_Ef,License_Ex,Latitude,Longitude,Location,serial_a2b
-1,1295970,ON-PREMISES LIQUOR,252,OP,New York City,1,RICHMOND,DADDYOS ON BAY INC,,181 BAY ST,,STATEN ISLAND,NY,10301,861770,,5/4/2017 0:00:00,4/30/2019 0:00:00,40.637500000000003,-74.075879999999998,"(40.6375, -74.07588)",24677
-1,1295971,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ELJEFFENYC LLC,EL JEFFE,1483 FULTON ST,,BROOKLYN,NY,11216,861537,,3/8/2017 0:00:00,2/28/2019 0:00:00,40.680100000000003,-73.941990000000004,"(40.6801, -73.94199)",24678
-1,1295986,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,GOOD MANNERS LLC,,15 E 12TH ST,,NEW YORK,NY,10003,841406,,2/2/2017 0:00:00,1/31/2019 0:00:00,40.734279999999998,-73.993390000000005,"(40.73428, -73.99339)",24684
-1,1295995,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BARNISCO LLC,WAYWARD SOCIAL,35 INGRAHAM ST,,BROOKLYN,NY,11206,898604,,10/12/2018 0:00:00,9/30/2020 0:00:00,40.707079999999998,-73.932500000000005,"(40.70708, -73.9325)",24687
-1,1296058,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,55 BOND STREET LLC,FISH CHEEKS,55 BOND ST,,NEW YORK,NY,10012,893842,,9/1/2018 0:00:00,8/31/2020 0:00:00,40.725800000000000,-73.992699999999999,"(40.7258, -73.9927)",24707
-1,1296060,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,B AND B RESTAURANT GROUP LLC,BENJAMIN STEAKHOUSE III,285 MADISON AVE,AKA 23 E 40TH ST,NEW YORK,NY,10017,897595,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.751640000000002,-73.979979999999998,"(40.75164, -73.97998)",24708
-1,1296067,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,LADAMANYC INC,HEN PEN NYC,75 MAIDEN LN,STORE 3,NEW YORK,NY,10004,861510,,2/28/2017 0:00:00,1/31/2019 0:00:00,40.707689999999999,-74.007670000000005,"(40.70769, -74.00767)",24710
-1,1296070,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,SIMIA DEI LLC,HART'S,506 FRANKLIN AVE,,BROOKLYN,NY,11238,841065,,11/1/2016 0:00:00,10/31/2018 0:00:00,40.681350000000002,-73.955789999999993,"(40.68135, -73.95579)",24712
-1,1296076,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BALTIMORE RESTAURANT INC,ENGINAR,1606 1ST AVE,,NEW YORK,NY,10028,841229,,12/15/2016 0:00:00,11/30/2018 0:00:00,40.775089999999999,-73.950469999999996,"(40.77509, -73.95047)",24714
-1,1296110,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,MILK BURGER 148 LLC,MILK BURGER,148 BRUCKNER BLVD,,BRONX,NY,10454,841306,,1/5/2017 0:00:00,12/31/2018 0:00:00,40.803559999999997,-73.920109999999994,"(40.80356, -73.92011)",24725
-1,1296143,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,ZERO LOUNGE RESTAURANT INC,O'SIDE RESTAURANT & LOUNGE,1472 OGDEN AVE,,BRONX,NY,10452,877480,,10/24/2017 0:00:00,11/30/2018 0:00:00,40.844029999999997,-73.923490000000001,"(40.84403, -73.92349)",24735
-1,1296153,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,J SOTO MANAGEMENT LLC,THE GRUMPY CAT BAR,480 62ND ST,,BROOKLYN,NY,11220,841393,,1/31/2017 0:00:00,12/31/2018 0:00:00,40.638399999999997,-74.017650000000003,"(40.6384, -74.01765)",24740
-1,1296160,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,ACT VENTURES LLC,TROQUET,161 LAFAYETTE ST,A/K/A 155 GRAND ST,NEW YORK,NY,10013,841432,,2/9/2017 0:00:00,1/31/2019 0:00:00,40.719810000000003,-73.999080000000006,"(40.71981, -73.99908)",24744
-1,1296182,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,GREAT FOOD 57TH ST LLC,OUSIA,629 W 57TH ST,,NEW YORK,NY,10019,879728,,12/22/2016 0:00:00,11/30/2018 0:00:00,40.770690000000002,-73.992149999999995,"(40.77069, -73.99215)",24756
-1,1296187,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,MADREL LLC,MARLOW BISTRO,1018 AMSTERDAM AVE,,NEW YORK,NY,10025,894113,,9/1/2018 0:00:00,8/31/2020 0:00:00,40.802889999999998,-73.964160000000007,"(40.80289, -73.96416)",24758
